Postcode	age18_24	age25_34	age35_54	age_55	genderMale	employed	selfEmployed	student	eduLower	eduMid	eduUni	license	commuteBike	commutePT	commuteNS	distWork	usedUber	hhSize	hhChild	nbrCarHH	incLevel_30k	incLevel30_60k	incLevel60k	csMember	choice
3055	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	4	0	4	2	2	0	1	0	1	3
3073	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	5	0	1	0	4	0	1	0	1	0
1015	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	2	0	1	0	0	0	0	2
3543	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	5	0	2	0	1	0	0	1	0	0
1072	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	4	2	2	0	1	0	0	0
3042	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	6	1	2	1	2	0	0	1	0	2
1081	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	4	0	1	0	1	0	0	1	0	4
3553	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	2	1	1	0	1	1	0	0	0	2
3035	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	2	0	1	0	1	0	0	0	0	4
3072	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	1	3	1	2	1	0	0	0	1
1013	0	1	0	0	1	1	0	0	0	1	0	1	1	1	0	3	0	2	0	1	1	0	0	0	1
3523	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	4	0	3	1	1	1	0	0	0	3
3563	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	2	0	4	0	3	0	0	1	0	0
2574	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	3	0	2	0	2	0	0	0	0	3
3034	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	6	0	1	0	2	1	0	0	1	2
1078	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	7	0	2	0	1	0	0	1	0	0
2591	0	0	1	0	0	1	0	0	0	1	0	1	1	1	0	5	0	2	1	2	0	1	0	1	3
1015	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	2	0	1	0	1	1	0	0	0	4
1078	1	0	0	0	1	0	0	1	0	0	1	1	1	1	0	3	0	2	0	2	0	0	0	0	3
1069	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	3	0	1	0	1	1	0	0	0	2
3077	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	3	0	2	0	3	0	1	0	0	2
